Title,Budget,Popularity,Release Date,Revenue,Runtime,Vote_average,Vote_count
Dog Day Afternoon,1800000,7.925,1975-08-11,46665856,125,7.8,1142
Jaws,7000000,16.072,1975-06-18,470653000,124,7.6,4535
Nashville,2200000,6.775,1975-06-11,0,160,7.4,134
One Flew Over the Cuckoo's Nest,3000000,23.237,1975-11-18,108981275,133,8.4,5097
All the President's Men,8500000,14.23,1976-04-04,70600000,138,7.7,694
Bound for Glory,0,2.629,1976-12-05,0,147,7.3,26
Network,3800000,8.482,1976-11-01,23689877,122,8.0,643
Rocky,1000000,22.269,1976-11-21,117235147,119,7.7,3385
Taxi Driver,1300000,18.985,1976-02-07,28262574,114,8.1,4754
Annie Hall,4000000,7.947,1977-04-19,38251425,93,7.8,1795
The Goodbye Girl,0,2.673,1977-11-30,102000000,111,7.2,55
Julia,0,3.346,1977-10-02,0,117,6.9,45
Star Wars,11000000,35.056,1977-05-25,775398007,121,8.2,10721
The Turning Point,0,2.229,1977-11-14,0,119,6.3,23
Coming Home,3000000,6.117,1978-02-15,0,127,7.2,64
The Deer Hunter,15000000,10.828,1978-12-08,50000000,183,8.0,1611
Heaven Can Wait,0,5.047,1978-06-28,0,101,6.4,140
Midnight Express,2300000,7.5,1978-09-12,35000000,121,7.7,578
An Unmarried Woman,2515000,1.633,1978-05-26,24000000,124,6.8,22
All That Jazz,0,5.294,1979-12-20,37823676,123,7.4,142
Apocalypse Now,31500000,18.477,1979-08-15,89460381,147,8.2,3589
Breaking Away,2300000,6.627,1979-05-24,20000000,100,7.4,101
Kramer vs. Kramer,8000000,6.035,1979-12-18,106260000,105,7.5,869
Norma Rae,0,3.293,1979-03-02,22228000,110,7.2,52
Coal Miner's Daughter,15000000,6.089,1980-03-07,67182787,125,7.1,102
The Elephant Man,5000000,8.503,1980-10-02,26010864,124,8.0,1347
Ordinary People,6000000,8.504,1980-09-19,0,124,7.5,226
Raging Bull,18000000,12.637,1980-11-14,23000000,129,7.9,1681
Tess,0,6.081,1979-10-06,0,171,6.8,114
Atlantic City,7200000,4.565,1980-09-02,12729675,104,6.9,79
Chariots of Fire,5500000,8.857,1981-05-15,58972904,123,6.9,351
On Golden Pond,0,7.652,1981-12-04,19255967,109,7.5,170
Raiders of the Lost Ark,18000000,21.45,1981-06-12,389925971,115,7.8,6172
Reds,32000000,5.74,1981-12-25,40382659,195,7.2,116
E.T. the Extra-Terrestrial,10500000,15.717,1982-06-11,792965326,115,7.4,5934
Gandhi,22000000,7.524,1982-11-30,77737889,191,7.5,1105
Missing,0,5.14,1982-02-12,14000000,122,7.4,123
Tootsie,21000000,7.14,1982-12-16,177200000,116,7.1,721
The Verdict,16000000,6.4,1982-12-08,53977250,129,7.5,219
The Big Chill,0,6.909,1983-09-09,0,105,7.1,214
The Dresser,0,2.401,1983-12-06,0,118,6.6,20
The Right Stuff,27000000,7.203,1983-10-20,21500000,193,7.5,356
Tender Mercies,0,2.479,1983-04-02,0,92,6.8,34
Terms of Endearment,8000000,7.003,1983-11-20,0,132,7.2,305
Amadeus,18000000,8.872,1984-10-26,51973029,160,8.0,1906
The Killing Fields,14400000,6.776,1984-11-02,34700291,142,7.6,272
A Passage to India,8000000,6.017,1984-12-14,27187653,163,6.9,108
Places in the Heart,0,2.552,1984-09-11,0,111,7.3,46
A Soldier's Story,6000000,4.255,1984-09-14,21821347,101,6.6,72
The Color Purple,15000000,8.225,1985-12-18,146292009,154,7.8,641
Kiss of the Spider Woman,0,4.547,1985-07-26,0,120,7.2,82
Out of Africa,31000000,5.706,1985-12-20,128499205,161,7.3,534
Prizzi's Honor,0,7.494,1985-06-14,26657534,124,6.6,135
Witness,12000000,8.668,1985-02-08,68706993,113,7.0,650
Children of a Lesser God,0,5.86,1986-09-13,31853080,119,7.0,118
Hannah and Her Sisters,6400000,8.577,1986-02-07,40084041,107,7.6,397
The Mission,24500000,7.21,1986-09-29,17218023,126,7.3,535
Platoon,6000000,10.869,1986-12-19,138530565,120,7.7,1972
A Room with a View,3000000,8.476,1985-12-13,20966644,117,7.1,303
Broadcast News,20000000,6.804,1987-12-16,51249404,133,6.8,152
Fatal Attraction,14000000,10.391,1987-09-11,320145693,119,6.7,553
Hope and Glory,0,3.579,1987-09-03,0,113,6.7,67
The Last Emperor,23000000,9.828,1987-10-21,43984230,163,7.6,598
Moonstruck,0,7.937,1987-12-18,80640528,102,6.8,322
The Accidental Tourist,0,4.626,1988-12-23,0,121,6.2,87
Dangerous Liaisons,14000000,7.037,1988-12-16,34670720,119,7.2,484
Mississippi Burning,15000000,8.138,1988-12-08,34604000,128,7.6,604
Rain Man,25000000,9.267,1988-12-11,412800000,134,7.7,2921
Working Girl,28000000,8.164,1988-12-20,103173635,114,6.5,401
Born on the Fourth of July,14000000,8.378,1989-12-20,161001698,145,6.9,680
Dead Poets Society,16400000,15.614,1989-06-02,235860116,128,8.3,5289
Driving Miss Daisy,7500000,7.65,1989-12-13,145793296,99,7.2,590
Field of Dreams,0,8.857,1989-04-21,84431625,107,7.1,629
My Left Foot: The Story of Christy Brown,645180,8.885,1989-07-21,14743391,103,7.7,351
Awakenings,0,8.607,1990-12-04,52096475,120,7.7,1021
Dances with Wolves,22000000,10.094,1990-11-09,424208848,181,7.8,1811
Ghost,22000000,11.416,1990-07-12,505000000,127,7.1,2552
The Godfather: Part III,54000000,16.044,1990-12-24,136766062,162,7.3,2666
Beauty and the Beast,25000000,20.344,1991-11-13,377350553,84,7.7,5277
Bugsy,30000000,5.451,1991-12-10,49114016,134,6.4,130
JFK,40000000,6.494,1991-12-20,205405498,189,7.7,830
The Prince of Tides,30000000,6.633,1991-12-25,74787599,132,6.5,98
The Silence of the Lambs,19000000,3.985,1991-02-01,272742922,119,8.3,7796
The Crying Game,3705538,7.004,1992-09-02,62548947,112,7.0,291
A Few Good Men,40000000,11.305,1992-12-11,243240178,138,7.3,1490
Howards End,0,6.351,1992-03-13,26126837,140,7.2,185
Scent of a Woman,31000000,9.224,1992-12-23,134095253,157,7.6,1250
Unforgiven,14000000,11.319,1992-08-07,159157447,131,7.9,1797
The Fugitive,44000000,11.35,1993-08-06,368875760,131,7.3,1919
In the Name of the Father,13000000,7.524,1993-12-12,65796862,133,7.9,677
The Piano,7000000,6.468,1993-05-19,116700000,121,7.4,531
The Remains of the Day,11500000,6.904,1993-11-05,23237911,134,7.6,430
Schindler's List,22000000,30.285,1993-12-15,321365567,195,8.5,7365
Forrest Gump,55000000,38.119,1994-07-06,677945399,142,8.4,13657
Four Weddings and a Funeral,6000000,9.193,1994-03-09,254700832,117,6.7,1173
Pulp Fiction,8000000,35.066,1994-09-10,213928762,154,8.4,14118
Quiz Show,0,7.725,1994-08-25,0,133,7.3,393
The Shawshank Redemption,25000000,26.056,1994-09-23,28341469,142,8.6,12200
Apollo 13,52000000,20.95,1995-06-30,355237933,140,7.4,2619
Babe,30000000,12.279,1995-07-18,254134910,89,6.1,1397
Braveheart,72000000,13.713,1995-05-24,210000000,178,7.9,5157
The Postman,0,7.147,1994-09-22,0,108,7.9,410
Sense and Sensibility,16000000,9.77,1995-12-13,134582776,136,7.4,633
The English Patient,27000000,9.423,1996-11-05,231976425,162,7.1,930
Fargo,7000000,11.439,1996-03-08,60611975,98,7.8,3559
Jerry Maguire,50000000,11.746,1996-12-13,273552592,139,6.8,1483
Secrets & Lies,4500000,6.258,1996-05-24,13417292,142,7.5,212
Shine,5500000,6.6,1996-08-15,35892330,105,7.4,251
As Good as It Gets,50000000,10.138,1997-12-19,314178011,139,7.4,1588
The Full Monty,3500000,7.977,1997-08-13,257850122,91,7.0,716
Good Will Hunting,10000000,13.673,1997-12-05,225933435,127,8.1,5213
L.A. Confidential,35000000,10.71,1997-09-19,126216940,138,7.8,2142
Titanic,200000000,26.218,1997-11-18,1845034188,194,7.8,13179
Elizabeth,30000000,10.858,1998-09-13,82150642,124,7.2,610
Life Is Beautiful,20000000,22.049,1997-12-20,229400000,116,8.4,6707
Saving Private Ryan,70000000,21.102,1998-07-24,481840909,169,8.1,7826
Shakespeare in Love,25000000,9.273,1998-12-11,289317794,122,6.9,1558
The Thin Red Line,52000000,9.342,1998-12-25,98126565,171,7.4,1293
American Beauty,15000000,16.106,1999-09-15,356296601,122,8.0,6013
The Cider House Rules,24000000,6.328,1999-12-17,88545092,126,7.0,494
The Green Mile,60000000,22.027,1999-12-10,284600000,189,8.4,7544
The Insider,90000000,7.158,1999-10-28,60289912,157,7.5,766
The Sixth Sense,40000000,18.56,1999-08-06,672806292,107,7.9,5657
Chocolat,25000000,9.779,2000-12-14,152500343,121,6.9,1687
"Crouching Tiger, Hidden Dragon",17000000,12.861,2000-07-06,213525736,120,7.3,1486
Erin Brockovich,52000000,10.549,2000-03-17,256271286,131,7.3,1363
Gladiator,103000000,17.199,2000-05-01,457640427,155,8.1,8987
Traffic,48000000,7.771,2000-12-27,207515725,147,7.0,926
