common_name,scientific_name,year,status
Moorish Idol,Zanclus cornutus,2016,Least Concern
Longsnout Butterflyfish,Prognathodes aculeatus,2010,Least Concern
Orange-Banded Coralfish,Coradion chrysozonus,2010,Least Concern
Two-Eyed Coralfish,Coradion melanopus,2010,Least Concern
Humphead Bannerfish,Heniochus varius,2010,Least Concern
Pennant Bannerfish,Heniochus chrysostomus,2010,Least Concern
Masked Bannerfish,Heniochus monoceros,2010,Least Concern
Singular Bannerfish,Heniochus singularius,2010,Least Concern
Schooling Bannerfish,Heniochus diphreutes,2010,Least Concern
Longnose Butterflyfish,Forcipiger flavissimus,2010,Least Concern
Big Longnose Butterflyfish,Forcipiger longirostris,2010,Least Concern
Foureye Butterflyfish,Chaetodon capistratus,2010,Least Concern
Spotfin Butterflyfish,Chaetodon ocellatus,2010,Least Concern
Reef Butterflyfish,Chaetodon sedentarius,2010,Least Concern
Vagabond Butterflyfish,Chaetodon vagabundus,2010,Least Concern
Atoll Butterflyfish,Chaetodon mertensii,2010,Least Concern
Crosshatch Butterflyfish,Chaetodon xanthurus,2010,Least Concern
Chevroned Butterflyfish,Chaetodon trifascialis,2010,Near Threatened
Saddled Butterflyfish,Chaetodon ephippium,2010,Least Concern
Ornate Butterflyfish,Chaetodon ornatissimus,2010,Least Concern
Spot-Banded Butterflyfish,Chaetodon punctatofasciatus,2010,Least Concern
Eastern Triangular Butterflyfish,Chaetodon baronessa,2010,Least Concern
Redfin Butterflyfish,Chaetodon lunulatus,2010,Least Concern
Fourspot Butterflyfish,Chaetodon quadrimaculatus,2010,Least Concern
Speckled Butterflyfish,Chaetodon citrinellus,2010,Least Concern
Meyer's Butterflyfish,Chaetodon meyeri,2010,Least Concern
Dot-Dash Butterflyfish,Chaetodon pelewensis,2010,Least Concern
Multiband Butterflyfish,Chaetodon multicinctus,2010,Least Concern
Milletseed Butterflyfish,Chaetodon miliaris,2010,Least Concern
Raccoon Butterflyfish,Chaetodon lunula,2010,Least Concern
Pacific Double-Saddle Butterflyfish,Chaetodon ulietensis,2010,Least Concern
Panda Butterflyfish,Chaetodon adiergastos,2010,Least Concern
Black-Backed Butterflyfish,Chaetodon melannotus,2010,Least Concern
Blue-Spot Butterflyfish,Chaetodon plebeius,2010,Least Concern
Dotted butterflyfish,Chaetodon semeion,2010,Least Concern
Eclipse Butterflyfish,Chaetodon bennetti,2010,Data Deficient
Ovalspot Butterflyfish,Chaetodon speculum,2010,Least Concern
Teardrop Butterflyfish,Chaetodon unimaculatus,2010,Least Concern
Spot-Nape Butterflyfish,Chaetodon oxycephalus,2010,Least Concern
Latticed Butterflyfish,Chaetodon rafflesii,2010,Least Concern
Eight-Banded Butterflyfish,Chaetodon octofasciatus,2010,Least Concern
Blacklip Butterflyfish,Chaetodon kleinii,2010,Least Concern
Reticulated Butterflyfish,Chaetodon reticulatus,2010,Data Deficient
Threadfin Butterflyfish,Chaetodon auriga,2010,Least Concern
Bluestripe Butterflyfish,Chaetodon fremblii,2010,Least Concern
Threebanded Butterflyfish,Chaetodon humeralis,2010,Least Concern
Pyramid Butterflyfish,Hemitaurichthys polylepis,2010,Least Concern
Blacknosed Butterflyfish,Johnrandallia nigrirostris,2010,Least Concern
Longfin Damselfish,Stegastes diencaeus,2015,Least Concern
Dusky Damselfish,Stegastes adustus,2015,Least Concern
Cocoa Damselfish,Stegastes xanthurus,2015,Least Concern
Beaugregory,Stegastes leucostictus,2015,Least Concern
Bicolor Damselfish,Stegastes partitus,2015,Least Concern
Cortez Damselfish,Stegastes rectifraenum,2010,Least Concern
Beaubrummel,Stegastes flavilatus,2010,Least Concern
Yellowtail Damselfish,Microspathodon chrysurus,2015,Least Concern
Giant Damselfish,Microspathodon dorsalis,2010,Least Concern
Golden Damselfish,Amblyglyphidodon aureus,2017,Least Concern
Staghorn Damselfish,Amblyglyphidodon curacao,2017,Least Concern
White-Belly Damselfish,Amblyglyphidodon leucogaster,2017,Least Concern
Black-Banded Damselfish,Amblypomacentrus breviceps,2017,Least Concern
Sergeant Major,Abudefduf saxatilis,2015,Least Concern
Hawaiian Sergeant,Abudefduf abdominalis,2017,Least Concern
Indo-Pacific Sergeant,Abudefduf vaigiensis,2017,Least Concern
Panamic Sergeant Major,Abudefduf troschelii,2010,Least Concern
Scissortail Sergeant,Abudefduf sexfasciatus,2017,Least Concern
Night Sergeant,Abudefduf taurus,2015,Least Concern
Blackspot Sergeant,Abudefduf sordidus,2017,Least Concern
Blue Chromis,Chromis cyanea,2010,Least Concern
Brown Chromis,Chromis multilineata,2015,Least Concern
Darkfin Chromis,Chromis atripes,2017,Least Concern
Oval Chromis,Chromis alta,2010,Least Concern
Ambon chromis,Chromis amboinensis,2017,Least Concern
Blue-Axil Chromis,Chromis caudalis,2017,Least Concern
Sunshinefish,Chromis insolata,2015,Least Concern
Blue-and-Yellow Chromis,Chromis limbaughi,2010,Least Concern
Scissortail Chromis,Chromis atrilobata,2010,Least Concern
Spiny Chromis,Acanthochromis polyacanthus,2017,Least Concern
Pink Anemonefish,Amphiprion perideraion,2017,Least Concern
Orangefin Anemonefish,Amphiprion sandaracinos,2010,Least Concern
Red And Black Anemonefish,Amphiprion melanopus,2017,Least Concern
Tomato Anemonefish,Amphiprion frenatus,2017,Least Concern
Shy Hamlet,Hypoplectrus guttavarius,2015,Least Concern
Barred Hamlet,Hypoplectrus puella,2015,Least Concern
Butter Hamlet,Hypoplectrus unicolor,2015,Least Concern
Yellowbelly Hamlet,Hypoplectrus aberrans,2015,Least Concern
Blue Hamlet,Hypoplectrus gemma,2015,Least Concern
Indigo Hamlet,Hypoplectrus indigo,2015,Least Concern
Yellowtail Hamlet,Hypoplectrus chlorurus,2015,Least Concern
Black Hamlet,Hypoplectrus nigricans,2015,Least Concern
Tan Hamlet,Hypoplectrus randallorum,2015,Least Concern
Black Jack,Caranx lugubris,2015,Least Concern
Horse-Eye Jack,Caranx latus,2015,Least Concern
Blue Runner,Caranx crysos,2010,Least Concern
Bluefin Trevally,Caranx melampygus,2016,Least Concern
Barcheek Trevally,Carangoides plagiotaenia,2016,Least Concern
Bar Jack,Caranx ruber,2015,Least Concern
Yellow Jack,Caranx bartholomaei,2015,Least Concern
Almaco Jack,Seriola rivoliana,2015,Least Concern
Whitetongue Jack,Uraspis helvola,2015,Least Concern
Rainbow Runner,Elagatis bipinnulata,2015,Least Concern
Permit,Trachinotus falcatus,2015,Least Concern
Palometa,Trachinotus goodei,2010,Least Concern
Gafftopsail Pompano,Trachinotus rhodopus,2010,Least Concern
Dogtooth tuna,Gymnosarda unicolor,2011,Least Concern
Saucereye Porgy,Calamus calamus,2014,Least Concern
Jolthead Porgy,Calamus bajonado,2014,Least Concern
Pluma Porgy,Calamus pennatula,2014,Least Concern
Sheepshead,Archosargus probatocephalus,2014,Least Concern
Yellowfin Mojarra,Gerres cinereus,2015,Least Concern
Brassy Chub,Kyphosus vaigiensis,2015,Least Concern
Topsail Chub,Kyphosus cinerascens,2015,Least Concern
Pacific Chub,Scomber japonicus,2011,Least Concern
Atlantic Spadefish,Chaetodipterus faber,2015,Least Concern
Atlantic Tarpon,Megalops atlanticus,2012,Vulnerable
Great Barracuda,Sphyraena barracuda,2015,Least Concern
Bonefish,Albula vulpes,2012,Near Threatened
Cero,Scomberomorus regalis,2011,Least Concern
Flat Needlefish,Ablennes hians,2015,Least Concern
Redfin Needlefish,Strongylura notata,2015,Least Concern
Ballyhoo,Hemiramphus brasiliensis,2015,Least Concern
Red Hind,Epinephelus guttatus,2018,Least Concern
Red Hind,Epinephelus guttatus,2008,Least Concern
Brown-Marbled Grouper,Epinephelus fuscoguttatus,2018,Vulnerable
Brown-Marbled Grouper,Epinephelus fuscoguttatus,2004,Near Threatened
Honeycomb grouper,Epinephelus merra,2018,Least Concern
Honeycomb grouper,Epinephelus merra,2008,Least Concern
Camouflage Grouper,Epinephelus polyphekadion,2018,Vulnerable
Camouflage Grouper,Epinephelus polyphekadion,2006,Near Threatened
Blacktip Grouper,Epinephelus fasciatus,2018,Least Concern
Blacktip Grouper,Epinephelus fasciatus,2008,Least Concern
Specklefin Grouper,Epinephelus ongus,2018,Least Concern
Specklefin Grouper,Epinephelus ongus,2008,Least Concern
Starry Grouper,Epinephelus labriformis,2018,Least Concern
Starry Grouper,Epinephelus labriformis,2008,Least Concern
Black Grouper,Mycteroperca bonaci,2018,Near Threatened
Black Grouper,Mycteroperca bonaci,2008,Near Threatened
Tiger Grouper,Mycteroperca tigris,2018,Data Deficient
Tiger Grouper,Mycteroperca tigris,2004,Least Concern
Yellowmouth Grouper,Mycteroperca interstitialis,2018,Vulnerable
Yellowmouth Grouper,Mycteroperca interstitialis,2008,Vulnerable
Yellowmouth Grouper,Mycteroperca interstitialis,2007,Vulnerable
Yellowfin Grouper,Mycteroperca venenosa,2018,Near Threatened
Yellowfin Grouper,Mycteroperca venenosa,2004,Near Threatened
Leopard Grouper,Mycteroperca rosacea,2018,Least Concern
Leopard Grouper,Mycteroperca rosacea,2008,Vulnerable
Leopard Grouper,Mycteroperca rosacea,2007,Vulnerable
Leopard Grouper,Mycteroperca rosacea,1996,Vulnerable
Graysby,Cephalopholis cruentata,2018,Least Concern
Graysby,Cephalopholis cruentata,2008,Least Concern
Coney,Cephalopholis fulva,2018,Least Concern
Coney,Cephalopholis fulva,2008,Least Concern
Peacock Grouper,Cephalopholis argus,2018,Least Concern
Peacock Grouper,Cephalopholis argus,2008,Least Concern
Bluespotted Grouper,Cephalopholis cyanostigma,2018,Least Concern
Bluespotted Grouper,Cephalopholis cyanostigma,2008,Least Concern
Harlequin Grouper,Cephalopholis polleni,2018,Least Concern
Harlequin Grouper,Cephalopholis polleni,2008,Least Concern
Flagtail Grouper,Cephalopholis urodeta,2018,Least Concern
Flagtail Grouper,Cephalopholis urodeta,2017,Least Concern
Flagtail Grouper,Cephalopholis urodeta,2008,Least Concern
Leopard Hind,Cephalopholis leopardus,2018,Least Concern
Leopard Hind,Cephalopholis leopardus,2008,Least Concern
Strawberry Grouper,Cephalopholis spiloparaea,2018,Least Concern
Strawberry Grouper,Cephalopholis spiloparaea,2008,Least Concern
Tomato Grouper,Cephalopholis sonnerati,2018,Least Concern
Tomato Grouper,Cephalopholis sonnerati,2008,Least Concern
Coral Grouper,Cephalopholis miniata,2018,Least Concern
Coral Grouper,Cephalopholis miniata,2008,Least Concern
Six-Banded Grouper,Cephalopholis sexmaculata,2018,Least Concern
Six-Banded Grouper,Cephalopholis sexmaculata,2008,Least Concern
Panama Graysby,Cephalopholis panamensis,2018,Least Concern
Panama Graysby,Cephalopholis panamensis,2017,Least Concern
Panama Graysby,Cephalopholis panamensis,2008,Least Concern
Masked grouper,Gracila albomarginata,2018,Least Concern
Masked grouper,Gracila albomarginata,2008,Data Deficient
Atlantic Creolefish,Paranthias furcifer,2018,Least Concern
Atlantic Creolefish,Paranthias furcifer,2008,Least Concern
Pacific creolefish,Paranthias colonus,2018,Least Concern
Pacific creolefish,Paranthias colonus,2017,Least Concern
Pacific creolefish,Paranthias colonus,2008,Least Concern
Baramundi,Cromileptes altivelis,2018,Data Deficient
Baramundi,Cromileptes altivelis,2008,Vulnerable
Baramundi,Cromileptes altivelis,2007,Vulnerable
Baramundi,Cromileptes altivelis,2000,Data Deficient
Slender Grouper,Anyperodon leucogrammicus,2018,Least Concern
Slender Grouper,Anyperodon leucogrammicus,2008,Least Concern
Highfin Coral Grouper,Plectropomus oligacanthus,2018,Least Concern
Highfin Coral Grouper,Plectropomus oligacanthus,2008,Near Threatened
Harlequin Bass,Serranus tigrinus,2010,Least Concern
Tobaccofish,Serranus tabacarius,2015,Least Concern
Chalk Bass,Serranus tortugarum,2015,Least Concern
Lantern Bass,Serranus baldwini,2015,Least Concern
Barred Serrano,Serranus psittacinus,2010,Least Concern
Sand Perch,Diplectrum formosum,2015,Least Concern
Dwarf Sand Perch,Diplectrum bivittatum,2015,Least Concern
Candy Basslet,Liopropoma carmabi,2015,Least Concern
Peppermint Basslet,Liopropoma rubre,2015,Least Concern
Squarespot Anthias,Pseudanthias pleurotaenia,2010,Least Concern
Scalefin Anthias,Pseudanthias squamipinnis,2016,Least Concern
Purple Anthias,Pseudanthias tuka,2016,Least Concern
Purple Queen Anthias,Pseudanthias pascalus,2016,Least Concern
Threadfin Anthias,Pseudanthias huchtii,2016,Least Concern
Hawaiian Longfin Anthias,Pseudanthias hawaiiensis,2016,Least Concern
Hawk Anthias,Serranocirrhitus latus,2016,Least Concern
Greater Soapfish,Rypticus saponaceus,2015,Least Concern
Mottled Soapfish,Rypticus bicolor,2010,Least Concern
Freckled Soapfish,Rypticus bistrispinus,2015,Least Concern
Spotted Soapfish,Rypticus subbifrenatus,2015,Least Concern
Arrowhead Soapfish,Belonoperca chabanaudi,2016,Least Concern
Bearded Soapfish,Pogonoperca punctata,2016,Least Concern
Fairy Basslet,Gramma loreto,2015,Least Concern
Blackcap Basslet,Gramma melacara,2015,Least Concern
French Grunt,Haemulon flavolineatum,2016,Least Concern
Bluestriped Grunt,Haemulon sciurus,2016,Least Concern
Smallmouth Grunt,Haemulon chrysargyreum,2015,Least Concern
White Grunt,Haemulon plumierii,2016,Least Concern
Cottonwick,Haemulon melanurum,2015,Least Concern
Caesar Grunt,Haemulon carbonarium,2015,Least Concern
Spanish Grunt,Haemulon macrostomum,2015,Least Concern
Tomtate,Haemulon aurolineatum,2015,Least Concern
Sailors Choice,Haemulon parra,2015,Least Concern
White Margate,Haemulon album,2016,Data Deficient
Graybar grunt,Haemulon sexfasciatum,2010,Least Concern
Porkfish,Anisotremus virginicus,2015,Least Concern
Panamic Porkfish,Anisotremus taeniatus,2010,Least Concern
Black Margate,Anisotremus surinamensis,2016,Data Deficient
Smalltoothed Jobfish,Aphareus furca,2016,Least Concern
Wavyline Grunt,Microlepidotus inornatus,2010,Least Concern
Yellowtail Snapper,Ocyurus chrysurus,2016,Data Deficient
Schoolmaster Snapper,Lutjanus apodus,2016,Least Concern
Mahogany Snapper,Lutjanus mahogoni,2016,Least Concern
Cubera Snapper,Lutjanus cyanopterus,2016,Vulnerable
Cubera Snapper,Lutjanus cyanopterus,1996,Vulnerable
Gray Snapper,Lutjanus griseus,2016,Least Concern
Dog Snapper,Lutjanus jocu,2016,Data Deficient
Mutton Snapper,Lutjanus analis,2016,Near Threatened
Mutton Snapper,Lutjanus analis,1996,Vulnerable
Lane Snapper,Lutjanus synagris,2016,Near Threatened
Blacktail Snapper,Lutjanus fulvus,2016,Least Concern
Black-Banded Snapper,Lutjanus semicinctus,2016,Least Concern
Checkered Snapper,Lutjanus decussatus,2010,Least Concern
Bluestripe Snapper,Lutjanus kasmira,2016,Least Concern
Blue and Gold Snapper,Lutjanus viridis,2010,Least Concern
Blackfin Snapper,Lutjanus buccanella,2016,Data Deficient
Twospot Snapper,Lutjanus biguttatus,2016,Least Concern
Amarillo Snapper,Lutjanus argentiventris,2010,Least Concern
Midnight Snapper,Macolor macularis,2016,Least Concern
Bridled Monocle Bream,Scolopsis bilineata,2016,Least Concern
Pearly Monocle Bream,Scolopsis margaritifera,2016,Least Concern
Whitestreak Monocle Bream,Scolopsis ciliata,2016,Least Concern
Pale Monocle Bream,Scolopsis affinis,2016,Least Concern
Humpnose Bigeye Bream,Monotaxis grandoculis,2016,Least Concern
Striped Large-Eye Bream,Gnathodentex aureolineatus,2016,Least Concern
Scissortail Fusilier,Caesio caerulaurea,2010,Least Concern
Blue and Yellow Fusilier,Caesio teres,2016,Least Concern
Bluestreak Fusilier,Pterocaesio tile,2016,Least Concern
Ruddy Fusilier,Pterocaesio pisang,2016,Least Concern
Blue Parrotfish,Scarus coeruleus,2012,Least Concern
Blue Parrotfish,Scarus coeruleus,2010,Least Concern
Midnight Parrotfish,Scarus coelestinus,2012,Data Deficient
Midnight Parrotfish,Scarus coelestinus,2010,Data Deficient
Rainbow Parrotfish,Scarus guacamaia,2012,Near Threatened
Rainbow Parrotfish,Scarus guacamaia,2010,Data Deficient
Rainbow Parrotfish,Scarus guacamaia,1996,Vulnerable
Princess Parrotfish,Scarus taeniopterus,2012,Least Concern
Princess Parrotfish,Scarus taeniopterus,2010,Least Concern
Striped Parrotfish,Scarus iseri,2012,Least Concern
Striped Parrotfish,Scarus iseri,2010,Least Concern
Palenose Parrotfish,Scarus psittacus,2012,Least Concern
Palenose Parrotfish,Scarus psittacus,2010,Least Concern
Regal Parrotfish,Scarus dubius,2012,Least Concern
Regal Parrotfish,Scarus dubius,2010,Least Concern
Yellowbar Parrotfish,Scarus schlegeli,2012,Least Concern
Yellowbar Parrotfish,Scarus schlegeli,2010,Least Concern
Redlip Parrotfish,Scarus rubroviolaceus,2012,Least Concern
Redlip Parrotfish,Scarus rubroviolaceus,2010,Least Concern
Blue-Barred Parrotfish,Scarus ghobban,2012,Least Concern
Blue-Barred Parrotfish,Scarus ghobban,2010,Least Concern
Bumphead Parrotfish,Scarus perrico,2012,Least Concern
Bumphead Parrotfish,Scarus perrico,2010,Least Concern
Azure Parrotfish,Scarus compressus,2012,Least Concern
Azure Parrotfish,Scarus compressus,2010,Least Concern
Swarthy Parrotfish,Scarus niger,2012,Least Concern
Swarthy Parrotfish,Scarus niger,2010,Least Concern
Yellowfin Parrotfish,Scarus flavipectoralis,2012,Least Concern
Yellowfin Parrotfish,Scarus flavipectoralis,2010,Least Concern
Stoplight Parrotfish,Sparisoma viride,2012,Least Concern
Stoplight Parrotfish,Sparisoma viride,2010,Least Concern
Redband Parrotfish,Sparisoma aurofrenatum,2012,Least Concern
Redband Parrotfish,Sparisoma aurofrenatum,2010,Least Concern
Yellowtail Parrotfish,Sparisoma rubripinne,2012,Least Concern
Yellowtail Parrotfish,Sparisoma rubripinne,2010,Least Concern
Redtail Parrotfish,Sparisoma chrysopterum,2012,Least Concern
Redtail Parrotfish,Sparisoma chrysopterum,2010,Least Concern
Greenblotch Parrotfish,Sparisoma atomarium,2012,Least Concern
Greenblotch Parrotfish,Sparisoma atomarium,2010,Least Concern
Spotted Parrotfish,Cetoscarus ocellatus,2012,Least Concern
Spotted Parrotfish,Cetoscarus ocellatus,2010,Least Concern
Bullethead Parrotfish,Chlorurus spilurus,2012,Least Concern
Bullethead Parrotfish,Chlorurus spilurus,2010,Least Concern
Bleeker's Parrotfish,Chlorurus bleekeri,2012,Least Concern
Bleeker's Parrotfish,Chlorurus bleekeri,2010,Least Concern
Steephead Parrotfish,Chlorurus microrhinos,2012,Least Concern
Steephead Parrotfish,Chlorurus microrhinos,2010,Least Concern
Green Humphead Parrotfish,Bolbometopon muricatum,2012,Vulnerable
Green Humphead Parrotfish,Bolbometopon muricatum,2007,Vulnerable
Stareye Parrotfish,Calotomus carolinus,2012,Least Concern
Stareye Parrotfish,Calotomus carolinus,2010,Least Concern
Humphead Wrasse,Cheilinus undulatus,2004,Endangered
Humphead Wrasse,Cheilinus undulatus,1996,Vulnerable
Tripletail Wrasse,Cheilinus trilobatus,2010,Least Concern
Redbreasted Wrasse,Cheilinus fasciatus,2010,Least Concern
Pacific Bird Wrasse,Gomphosus varius,2010,Least Concern
Creole Wrasse,Clepticus parrae,2010,Least Concern
Yellowhead Wrasse,Halichoeres garnoti,2010,Least Concern
Puddingwife,Halichoeres radiatus,2010,Least Concern
Goldstripe Wrasse,Halichoeres hartzfeldii,2010,Least Concern
Checkerboard Wrasse,Halichoeres hortulanus,2010,Least Concern
Richmond's Wrasse,Halichoeres richmondi,2010,Least Concern
Red-Lined Wrasse,Halichoeres biocellatus,2010,Least Concern
Ornate Wrasse,Halichoeres ornatissimus,2010,Least Concern
Nebulous Wrasse,Halichoeres nebulosus,2010,Least Concern
Twotone Wrasse,Halichoeres prosopeion,2010,Least Concern
Zigzag Wrasse,Halichoeres scapularis,2010,Least Concern
Canary Wrasse,Halichoeres chrysus,2010,Least Concern
Rainbow Wrasse,Halichoeres pictus,2010,Least Concern
Clown wrasse,Halichoeres maculipinna,2010,Least Concern
Slippery Dick,Halichoeres bivittatus,2010,Least Concern
Chameleon Wrasse,Halichoeres dispilus,2010,Least Concern
Yellowtail Coris,Coris gaimard,2010,Least Concern
Batu coris,Coris batuensis,2010,Least Concern
Yellowstripe Coris,Coris flavovittata,2010,Least Concern
Elegant coris,Coris venusta,2010,Least Concern
Slingjaw Wrasse,Epibulus insidiator,2010,Least Concern
Latent Slingjaw Wrasse,Epibulus brevis,2010,Least Concern
Barred Thicklip,Hemigymnus fasciatus,2010,Least Concern
Blackeye Thicklip,Hemigymnus melapterus,2010,Least Concern
Blacksaddle Tuskfish,Choerodon zosterophorus,2010,Least Concern
Anchor Tuskfish,Choerodon anchorago,2010,Least Concern
Leopard Wrasse,Macropharyngodon meleagris,2010,Least Concern
Shortnose Wrasse,Macropharyngodon geoffroy,2010,Least Concern
Whitespotted Wrasse,Anampses melanurus,2010,Least Concern
Yellowtail Wrasse,Anampses meleagrides,2010,Least Concern
Saddle Wrasse,Thalassoma duperrey,2010,Least Concern
Moon Wrasse,Thalassoma lunare,2010,Least Concern
Ladder Wrasse,Thalassoma trilobatum,2010,Least Concern
Sunset Wrasse,Thalassoma lutescens,2010,Least Concern
Surge Wrasse,Thalassoma purpureum,2010,Least Concern
Cortez Rainbow Wrasse,Thalassoma lucasanum,2010,Least Concern
Belted Wrasse,Stethojulis balteata,2010,Least Concern
Ringtail Wrasse,Oxycheilinus unifasciatus,2010,Least Concern
Twospot Wrasse,Oxycheilinus bimaculatus,2010,Least Concern
Cheeklined Wrasse,Oxycheilinus digramma,2010,Least Concern
Celebes Wrasse,Oxycheilinus celebicus,2010,Least Concern
Dotted Wrasse,Cirrhilabrus punctatus,2010,Least Concern
Lubbock's Wrasse,Cirrhilabrus lubbocki,2010,Least Concern
Bluesided Fairy Wrasse,Cirrhilabrus cyanopleura,2010,Data Deficient
Bluestreak Cleaner Wrasse,Labroides dimidiatus,2010,Least Concern
Bicolor Cleaner Wrasse,Labroides bicolor,2010,Least Concern
Hawaiian Cleaner Wrasse,Labroides phthirophagus,2010,Least Concern
Smalltail Wrasse,Pseudojuloides cerasinus,2010,Data Deficient
Disappearing Wrasse,Pseudocheilinus evanidus,2010,Least Concern
Fourstripe Wrasse,Pseudocheilinus tetrataenia,2010,Least Concern
Sixstripe Wrasse,Pseudocheilinus hexataenia,2010,Least Concern
Eightstripe Wrasse,Pseudocheilinus octotaenia,2010,Least Concern
Cockerel Wrasse,Pteragogus enneacanthus,2010,Least Concern
Cryptic Wrasse,Pteragogus cryptus,2010,Least Concern
Chiseltooth Wrasse,Pseudodax moluccanus,2010,Least Concern
Redshoulder Wrasse,Stethojulis bandanensis,2010,Least Concern
Hogfish,Lachnolaimus maximus,2010,Vulnerable
Hogfish,Lachnolaimus maximus,1996,Vulnerable
Spanish Hogfish,Bodianus rufus,2010,Least Concern
Hawaiian Hogfish,Bodianus albotaeniatus,2010,Least Concern
Diana's Hogfish,Bodianus diana,2010,Least Concern
Blackbelt Hogfish,Bodianus mesothorax,2010,Least Concern
Lyretail Hogfish,Bodianus anthioides,2010,Least Concern
Mexican Hogfish,Bodianus diplotaenia,2010,Least Concern
Cigar Wrasse,Cheilio inermis,2010,Least Concern
Rockmover Wrasse,Novaculichthys taeniourus,2010,Least Concern
Green Razorfish,Xyrichtys splendens,2010,Least Concern
Rosy Razorfish,Xyrichtys martinicensis,2010,Least Concern
Pearly Razorfish,Xyrichtys novacula,2010,Least Concern
Fivefinger Razorfish,Iniistius pentadactylus,2010,Least Concern
Peacock Razorfish,Iniistius pavo,2010,Least Concern
Finspot razorfish,Iniistius melanopus,2010,Least Concern
Whitepatch Razorfish,Iniistius aneitensis,2010,Least Concern
Squirrelfish,Holocentrus adscensionis,2015,Least Concern
Longspine Squirrelfish,Holocentrus rufus,2015,Least Concern
Reef Squirrelfish,Sargocentron coruscum,2015,Least Concern
Longjaw Squirrelfish,Neoniphon marianus,2015,Least Concern
Dusky squirrelfish,Sargocentron vexillarium,2015,Least Concern
Crown Squirrelfish,Sargocentron diadema,2016,Least Concern
Three-Spot Squirrelfish,Sargocentron cornutum,2016,Least Concern
Smallmouth Squirrelfish,Sargocentron microstoma,2016,Least Concern
Pink Squirrelfish,Sargocentron tiereoides,2016,Least Concern
Blackfin Squirrelfish,Neoniphon opercularis,2016,Least Concern
Spotfin Squirrelfish,Neoniphon sammara,2016,Least Concern
Tailspot Squirrelfish,Sargocentron caudimaculatum,2016,Least Concern
Sabre Squirrelfish,Sargocentron spiniferum,2016,Least Concern
Blue Lined Squirrelfish,Sargocentron tiere,2016,Least Concern
Blackbar Soldierfish,Myripristis jacobus,2015,Least Concern
Brick Soldierfish,Myripristis amaena,2016,Least Concern
Whitetip soldierfish,Myripristis vittata,2016,Least Concern
Shadowfin Soldierfish,Myripristis adusta,2016,Least Concern
Bigscale Soldierfish,Myripristis berndti,2016,Least Concern
Epaulette Soldierfish,Myripristis kuntee,2016,Least Concern
Violet Soldierfish,Myripristis violacea,2016,Least Concern
Panamic Soldierfish,Myripristis leiognathus,2010,Least Concern
Glasseye Snapper,Heteropriacanthus cruentatus,2015,Least Concern
Crescent-Tail Bigeye,Priacanthus hamrur,2016,Least Concern
Banggai Cardinalfish,Pterapogon kauderni,2007,Endangered
Pale Cardinalfish,Apogon planifrons,2015,Least Concern
Mimic Cardinalfish,Apogon phenax,2015,Least Concern
Belted cardinalfish,Apogon townsendi,2015,Least Concern
Whitestar Cardinalfish,Apogon lachneri,2015,Least Concern
Flamefish,Apogon maculatus,2015,Least Concern
Ghost Cardinalfish,Nectamia fusca,2010,Least Concern
Peppermint Goby,Coryphopterus lipernes,2015,Vulnerable
Pallid Goby,Coryphopterus eidolon,2015,Vulnerable
Bridled Goby,Coryphopterus glaucofraenum,2015,Least Concern
Goldspot Goby,Gnatholepis cauerensis,2010,Least Concern
Colon Goby,Coryphopterus dicrus,2015,Least Concern
Sharknose Goby,Elacatinus evelynae,2015,Least Concern
Cleaning Goby,Elacatinus genie,2015,Least Concern
Yellownose Goby,Elacatinus randalli,2015,Least Concern
Barsnout Goby,Elacatinus illecebrosus,2015,Least Concern
Linesnout Goby,Elacatinus lori,2015,Least Concern
Spotlight Goby,Elacatinus louisae,2015,Least Concern
Yellowline Goby,Elacatinus horsti,2015,Least Concern
Redhead Goby,Elacatinus puncticulatus,2010,Least Concern
Rusty Goby,Priolepis hipoliti,2015,Least Concern
Tusked goby,Risor ruber,2015,Least Concern
Candycane Pygmygoby,Trimma cana,2016,Least Concern
Redearth Pygmygoby,Trimma milta,2016,Least Concern
Ringeye Pygmygoby,Trimma benjamini,2016,Least Concern
Neon Dwarfgoby,Eviota atriventris,2016,Least Concern
Whitestriped Dwarfgoby,Eviota guttata,2019,Least Concern
Striped Dwarfgoby,Eviota sebreei,2019,Least Concern
Red and Whitespotted Dwarfgoby,Eviota prasites,2016,Least Concern
Twospot Sandgoby,Fusigobius duospilus,2016,Least Concern
Neophyte Sandgoby,Fusigobius neophytus,2016,Least Concern
Isthmus Goby,Arcygobius baliurus,2016,Data Deficient
Gorgeous Shrimpgoby,Amblyeleotris wheeleri,2016,Least Concern
Orange-Dashed Goby,Valenciennea puellaris,2016,Least Concern
Twostripe Goby,Valenciennea helsdingenii,2016,Least Concern
Beautiful Goby,Exyrias belissimus,2016,Least Concern
Orangespotted Sandgoby,Istigobius rigilius,2010,Least Concern
Decorated Sandgoby,Istigobius decoratus,2019,Least Concern
Ornate Sandgoby,Istigobius ornatus,2016,Least Concern
Stony Coral Ghostgoby,Pleurosicya micheli,2016,Least Concern
Wire Coral Goby,Bryaninops yongei,2016,Least Concern
Translucent Coral Goby,Bryaninops erythrops,2016,Least Concern
Large Whip Goby,Bryaninops amplus,2010,Least Concern
Wolfsnout Goby,Luposicya lupus,2016,Least Concern
