category,common_name,countries,scientific_name
Odd Shaped Swimmers,Ambon Toby,United States of America,Canthigaster amboinensis
Odd Shaped Swimmers,Ambon Toby,Vietnam,Canthigaster amboinensis
Odd Shaped Swimmers,Ambon Toby,South Africa,Canthigaster amboinensis
Odd Shaped Swimmers,Lantern Toby,Australia,Canthigaster epilampra
Odd Shaped Swimmers,Lantern Toby,Fiji,Canthigaster epilampra
Odd Shaped Swimmers,Lantern Toby,Indonesia,Canthigaster epilampra
Odd Shaped Swimmers,Lantern Toby,Japan,Canthigaster epilampra
Odd Shaped Swimmers,Lantern Toby,Malaysia,Canthigaster epilampra
Odd Shaped Swimmers,Lantern Toby,New Caledonia,Canthigaster epilampra
Odd Shaped Swimmers,Lantern Toby,Papua New Guinea,Canthigaster epilampra
Odd Shaped Swimmers,Lantern Toby,Philippines,Canthigaster epilampra
Odd Shaped Swimmers,Lantern Toby,Solomon Islands,Canthigaster epilampra
Odd Shaped Swimmers,Lantern Toby,China,Canthigaster epilampra
Odd Shaped Swimmers,Lantern Toby,United States of America,Canthigaster epilampra
Odd Shaped Swimmers,Lantern Toby,Vanuatu,Canthigaster epilampra
Odd Shaped Swimmers,Bandtail Puffer,Bermuda,Sphoeroides spengleri
Odd Shaped Swimmers,Bandtail Puffer,Brazil,Sphoeroides spengleri
Odd Shaped Swimmers,Bandtail Puffer,Belize,Sphoeroides spengleri
Odd Shaped Swimmers,Bandtail Puffer,Canada,Sphoeroides spengleri
Odd Shaped Swimmers,Bandtail Puffer,Colombia,Sphoeroides spengleri
Odd Shaped Swimmers,Bandtail Puffer,Costa Rica,Sphoeroides spengleri
Odd Shaped Swimmers,Bandtail Puffer,Cuba,Sphoeroides spengleri
Odd Shaped Swimmers,Bandtail Puffer,Dominican Republic,Sphoeroides spengleri
Odd Shaped Swimmers,Bandtail Puffer,French Guiana,Sphoeroides spengleri
Odd Shaped Swimmers,Bandtail Puffer,Guatemala,Sphoeroides spengleri
Odd Shaped Swimmers,Bandtail Puffer,Guyana,Sphoeroides spengleri
Odd Shaped Swimmers,Bandtail Puffer,Honduras,Sphoeroides spengleri
Odd Shaped Swimmers,Bandtail Puffer,Haiti,Sphoeroides spengleri
Odd Shaped Swimmers,Bandtail Puffer,Jamaica,Sphoeroides spengleri
Odd Shaped Swimmers,Bandtail Puffer,Mexico,Sphoeroides spengleri
Odd Shaped Swimmers,Bandtail Puffer,Nicaragua,Sphoeroides spengleri
Odd Shaped Swimmers,Bandtail Puffer,Panama,Sphoeroides spengleri
Odd Shaped Swimmers,Bandtail Puffer,Puerto Rico,Sphoeroides spengleri
Odd Shaped Swimmers,Bandtail Puffer,Suriname,Sphoeroides spengleri
Odd Shaped Swimmers,Bandtail Puffer,Trinidad and Tobago,Sphoeroides spengleri
Odd Shaped Swimmers,Bandtail Puffer,United States of America,Sphoeroides spengleri
Odd Shaped Swimmers,Bandtail Puffer,Venezuela,Sphoeroides spengleri
Odd Shaped Swimmers,Checkered Puffer,Brazil,Sphoeroides testudineus
Odd Shaped Swimmers,Checkered Puffer,Belize,Sphoeroides testudineus
Odd Shaped Swimmers,Checkered Puffer,Colombia,Sphoeroides testudineus
