common_name,scientific_name,url,category,depth,distribution,images,size
Wire Coral Shrimp,Pseudopontonides principis,https://reefguide.org/pseudopontonidesprincipis.html,Crustaceans,45-220 ft. (15-67 m),"Caribbean, Gulf of Mexico","['https://reefguide.org/pix/thumb2/pseudopontonidesprincipis1.jpg', 'https://reefguide.org/pix/thumb2/pseudopontonidesprincipis2.jpg', 'https://reefguide.org/pix/thumb2/pseudopontonidesprincipis3.jpg']",Up to 0.5 in. (1.2 cm)
Dragon Shrimp,Miropandalus hardingi,https://reefguide.org/miropandalushardingi.html,Crustaceans,45-220 ft. (15-67 m),"Caribbean, Gulf of Mexico",['https://reefguide.org/pix/miropandalushardingi1.jpg'],Up to 0.75 in. (2 cm)
Translucent Gorgonian Shrimp,Manipontonia psamathe,https://reefguide.org/manipontoniapsamathe.html,Crustaceans,10-200 ft. (3-60 m),"Indo-Pacific, Australia","['https://reefguide.org/pix/thumb2/manipontoniapsamathe1.jpg', 'https://reefguide.org/pix/thumb2/manipontoniapsamathe2.jpg']",Up to 1 in. (2.5 cm)
Ambon Crinoid Shrimp,Laomenes amboinensis,https://reefguide.org/laomenesamboinensis.html,Crustaceans,10-70 ft. (3-21 m),Indo-Pacific,['https://reefguide.org/pix/laomenesamboinensis1.jpg'],Up to 0.75 in. (2 cm)
Tiger Crinoid Shrimp,Laomenes tigris,https://reefguide.org/laomenestigris.html,Crustaceans,10-70 ft. (3-21 m),Indo-Pacific,['https://reefguide.org/pix/laomenestigris1.jpg'],Up to 0.75 in. (2 cm)
Laomenes sp. 1,Laomenes sp. 1,https://reefguide.org/laomenessp1.html,Crustaceans,10-70 ft. (3-21 m),Indo-Pacific,"['https://reefguide.org/pix/thumb2/laomenessp11.jpg', 'https://reefguide.org/pix/thumb2/laomenessp12.jpg']",Up to 0.75 in. (2 cm)
Laomenes sp. 2,Laomenes sp. 2,https://reefguide.org/laomenessp2.html,Crustaceans,15-100 ft. (5-30 m),Indo-Pacific,"['https://reefguide.org/pix/thumb2/laomenessp21.jpg', 'https://reefguide.org/pix/thumb2/laomenessp22.jpg']",Up to 0.75 in. (2 cm)
Laomenes sp. 3,Laomenes sp. 3,https://reefguide.org/laomenessp3.html,Crustaceans,15-100 ft. (5-30 m),Indo-Pacific,['https://reefguide.org/pix/laomenessp31.jpg'],Up to 0.75 in. (2 cm)
Zanzibar Whip Coral Shrimp,Dasycaris zanzibarica,https://reefguide.org/dasycariszanzibarica.html,Crustaceans,10-130 ft. (3-40 m),Indo-West Pacific,"['https://reefguide.org/pix/thumb2/dasycariszanzibarica3.jpg', 'https://reefguide.org/pix/thumb2/dasycariszanzibarica1.jpg', 'https://reefguide.org/pix/thumb2/dasycariszanzibarica2.jpg', 'https://reefguide.org/pix/thumb2/dasycariszanzibarica5.jpg', 'https://reefguide.org/pix/thumb2/dasycariszanzibarica6.jpg', 'https://reefguide.org/pix/thumb2/dasycariszanzibarica4.jpg']","Up to 0,5 in (1.5 cm)"
Anker's Whip Coral Shrimp,Pontonides ankeri,https://reefguide.org/pontonidesankeri.html,Crustaceans,10-100 ft. (3-30 m),"Indo-Pacific, Hawaii","['https://reefguide.org/pix/thumb2/pontonidesankeri1.jpg', 'https://reefguide.org/pix/thumb2/pontonidesankeri2.jpg', 'https://reefguide.org/pix/thumb2/pontonidesankeri3.jpg', 'https://reefguide.org/pix/thumb2/pontonidesankeri4.jpg']",Up to 0.6 in. (1.5 cm)
Bubble Coral Shrimp,Vir philippinensis,https://reefguide.org/virphilippinensis.html,Crustaceans,20-100 ft. (6-30 m),Indo-West Pacific,"['https://reefguide.org/pix/thumb2/virphilippinensis1.jpg', 'https://reefguide.org/pix/thumb2/virphilippinensis2.jpg', 'https://reefguide.org/pix/thumb2/virphilippinensis3.jpg', 'https://reefguide.org/pix/thumb2/virphilippinensis4.jpg', 'https://reefguide.org/pix/thumb2/virphilippinensis6.jpg', 'https://reefguide.org/pix/thumb2/virphilippinensis7.jpg']",Up to 5/8 in. (1.5 cm)
Sarasvati Anemone Shrimp,Ancylomenes sarasvati,https://reefguide.org/periclimenessarasvati.html,Crustaceans,6-130 ft. (2-40 m),West Pacific,"['https://reefguide.org/pix/thumb2/periclimenessarasvati2.jpg', 'https://reefguide.org/pix/thumb2/periclimenessarasvati3.jpg', 'https://reefguide.org/pix/thumb2/periclimenessarasvati4.jpg', 'https://reefguide.org/pix/thumb2/periclimenessarasvati1.jpg', 'https://reefguide.org/pix/thumb2/periclimenessarasvati5.jpg', 'https://reefguide.org/pix/thumb2/periclimenessarasvati6.jpg', 'https://reefguide.org/pix/thumb2/periclimenessarasvati7.jpg']",up to 1in. (2.5 cm)
Magnificent Anemone Shrimp,Ancylomenes magnificus,https://reefguide.org/magnificentanemoneshrimp.html,Crustaceans,10-100 ft. (3-30 m),West Pacific,"['https://reefguide.org/pix/thumb2/magnificentanemoneshrimp1.jpg', 'https://reefguide.org/pix/thumb2/magnificentanemoneshrimp2.jpg', 'https://reefguide.org/pix/thumb2/magnificentanemoneshrimp3.jpg', 'https://reefguide.org/pix/thumb2/magnificentanemoneshrimp4.jpg']",Up to 1 in. (2.5 cm)
Graceful Anemone Shrimp,Ancylomenes venustus,https://reefguide.org/ancylomenesvenustus.html,Crustaceans,10-120 ft. (3-37 m),"West Pacific, Indonesia","['https://reefguide.org/pix/thumb2/ancylomenesvenustus1.jpg', 'https://reefguide.org/pix/thumb2/ancylomenesvenustus2.jpg']",Up to 1 in. (2.5 cm)
Holthuis' Anemone Shrimp,Ancylomenes holthuisi,https://reefguide.org/ancylomenesholthuisi.html,Crustaceans,10-100 ft. (3-30 m),Indo-West Pacific,"['https://reefguide.org/pix/thumb2/ancylomenesholthuisi1.jpg', 'https://reefguide.org/pix/thumb2/ancylomenesholthuisi3.jpg', 'https://reefguide.org/pix/thumb2/ancylomenesholthuisi2.jpg', 'https://reefguide.org/pix/thumb2/ancylomenesholthuisi4.jpg']",Up to 1 in. (2.5 cm)
Yellow-Spotted Anemone Shrimp,Ancylomenes luteomaculatus,https://reefguide.org/ancylomenesluteomaculatus.html,Crustaceans,6-60 ft. (2-18 m),West Pacific,"['https://reefguide.org/pix/thumb2/ancylomenesluteomaculatus1.jpg', 'https://reefguide.org/pix/thumb2/ancylomenesluteomaculatus2.jpg', 'https://reefguide.org/pix/thumb2/ancylomenesluteomaculatus3.jpg']",Up to 1 in. (2.5 cm)
Egg Shell Shrimp,Hamopontonia corallicola,https://reefguide.org/hamopontoniacorallicola.html,Crustaceans,20-100 ft. (6-30 m),"West Pacific, Great Barrier Reef","['https://reefguide.org/pix/thumb2/hamopontoniacorallicola1.jpg', 'https://reefguide.org/pix/thumb2/hamopontoniacorallicola2.jpg', 'https://reefguide.org/pix/thumb2/hamopontoniacorallicola3.jpg']",Up to 1 in. (2.5 cm)
Rounded Sea Star Shrimp,Zenopontonia noverca,https://reefguide.org/zenopontonianoverca.html,Crustaceans,20-100 ft. (6-30 m),"West Pacific, Great Barrier Reef",['https://reefguide.org/pix/zenopontonianoverca1.jpg'],Up to 3/8 in. (1.1 cm)
Starry Coral Shrimp,Harpiliopsis beaupressi,https://reefguide.org/harpiliopsisbeaupressi.html,Crustaceans,20-100 ft. (6-30 m),"West Pacific, Great Barrier Reef",['https://reefguide.org/pix/harpiliopsisbeaupressi1.jpg'],Up to 3/8 in. (1.1 cm)
Spotted-Arm Cuapetes Shrimp,Cuapetes lacertae,https://reefguide.org/cuapeteslacertae.html,Crustaceans,3-40 ft. (1-12 m),West Pacific,"['https://reefguide.org/pix/thumb2/cuapeteslacertae1.jpg', 'https://reefguide.org/pix/thumb2/cuapeteslacertae2.jpg']",up to 1.5 in. (3.5 cm)
Red Claw Cuapetes Shrimp,Cuapetes tenuipes,https://reefguide.org/cuapetestenuipes.html,Crustaceans,10-200 ft. (3-60 m),"Indo-West Pacific, Australia",['https://reefguide.org/pix/cuapetestenuipes1.jpg'],Up to 1.5 in. (3.5 cm)
Cuapetes sp. 1,Cuapetes sp. 1,https://reefguide.org/cuapetessp1.html,Crustaceans,10-200 ft. (3-60 m),"Indo-West Pacific, Australia",['https://reefguide.org/pix/cuapetessp11.jpg'],Up to 1 in. (2.5 cm)
Marbled Shrimp,Saron marmoratus,https://reefguide.org/marbledshrimp.html,Crustaceans,10-120 ft. (3-37 m),"Indo-Pacific, Hawaii","['https://reefguide.org/pix/thumb2/marbledshrimp1.jpg', 'https://reefguide.org/pix/thumb2/marbledshrimp2.jpg', 'https://reefguide.org/pix/thumb2/marbledshrimp3.jpg', 'https://reefguide.org/pix/thumb2/marbledshrimp4.jpg', 'https://reefguide.org/pix/thumb2/marbledshrimp5.jpg', 'https://reefguide.org/pix/thumb2/marbledshrimp6.jpg', 'https://reefguide.org/pix/thumb2/marbledshrimp7.jpg', 'https://reefguide.org/pix/thumb2/marbledshrimp8.jpg', 'https://reefguide.org/pix/thumb2/marbledshrimp9.jpg', 'https://reefguide.org/pix/thumb2/marbledshrimp10.jpg']",Up to 2 in. (5 cm)
Saw-Blade Shrimp,Tozeuma armatum,https://reefguide.org/tozeumaarmatum.html,Crustaceans,10-100 ft. (3-30 m),"Indo-West Pacific, Red Sea","['https://reefguide.org/pix/thumb2/tozeumaarmatum1.jpg', 'https://reefguide.org/pix/thumb2/tozeumaarmatum2.jpg', 'https://reefguide.org/pix/thumb2/tozeumaarmatum3.jpg', 'https://reefguide.org/pix/thumb2/tozeumaarmatum4.jpg', 'https://reefguide.org/pix/thumb2/tozeumaarmatum5.jpg', 'https://reefguide.org/pix/thumb2/tozeumaarmatum6.jpg', 'https://reefguide.org/pix/thumb2/tozeumaarmatum7.jpg']",Up to 2 in. (5 cm)
Ocellated Tozeuma Shrimp,Tozeuma lanceolatum,https://reefguide.org/tozeumalanceolatum.html,Crustaceans,40-140 ft. (12-43 m),Indo-West Pacific,"['https://reefguide.org/pix/thumb2/tozeumalanceolatum1.jpg', 'https://reefguide.org/pix/thumb2/tozeumalanceolatum2.jpg', 'https://reefguide.org/pix/thumb2/tozeumalanceolatum3.jpg']",Up to 2 in. (5 cm)
Roughback Shrimp,Trachycaris rugosa,https://reefguide.org/trachycarisrugosa.html,Crustaceans,40-140 ft. (12-43 m),Indo-West Pacific,"['https://reefguide.org/pix/thumb2/trachycarisrugosa1.jpg', 'https://reefguide.org/pix/thumb2/trachycarisrugosa2.jpg', 'https://reefguide.org/pix/thumb2/trachycarisrugosa3.jpg']",Up to 1.15 in. (3 cm)
Stimpson's Snapping Shrimp,Synalpheus stimpsoni,https://reefguide.org/synalpheusstimpsoni.html,Crustaceans,40-140 ft. (12-43 m),Indo-West Pacific,['https://reefguide.org/pix/synalpheusstimpsoni1.jpg'],Up to 1.5 in. (3.5 cm)
Deman's Snapping Shrimp,Synalpheus demani,https://reefguide.org/synalpheusdemani.html,Crustaceans,40-140 ft. (12-43 m),Indo-West Pacific,['https://reefguide.org/pix/synalpheusdemani1.jpg'],Up to 1.25 in. (3 cm)
