threats,species_id,category_id,threat_id
Intentional use: (subsistence/small scale) [harvest],133,4,281
Fishing & harvesting aquatic resources,133,4,282
Intentional use: (large scale) [harvest],135,4,283
Intentional use: (subsistence/small scale) [harvest],135,4,284
Fishing & harvesting aquatic resources,135,4,285
Intentional use: (large scale) [harvest],136,4,286
Intentional use: (subsistence/small scale) [harvest],136,4,287
Fishing & harvesting aquatic resources,136,4,288
Intentional use: (subsistence/small scale) [harvest],137,4,289
Fishing & harvesting aquatic resources,137,4,290
"Soil erosion, sedimentation",137,4,291
Habitat shifting & alteration,137,4,292
Agricultural & forestry effluents,137,4,293
Intentional use: (large scale) [harvest],137,4,294
Intentional use: (large scale) [harvest],138,4,295
Intentional use: (subsistence/small scale) [harvest],138,4,296
Fishing & harvesting aquatic resources,138,4,297
Habitat shifting & alteration,139,4,298
Intentional use: (subsistence/small scale) [harvest],139,4,299
Unintentional effects: (subsistence/small scale) [harvest],139,4,300
Fishing & harvesting aquatic resources,139,4,301
Habitat shifting & alteration,140,4,302
Intentional use: (subsistence/small scale) [harvest],140,4,303
Fishing & harvesting aquatic resources,140,4,304
Habitat shifting & alteration,142,4,305
Intentional use: (large scale) [harvest],142,4,306
Intentional use: (subsistence/small scale) [harvest],142,4,307
Fishing & harvesting aquatic resources,142,4,308
Habitat shifting & alteration,143,4,309
Intentional use: (subsistence/small scale) [harvest],143,4,310
Fishing & harvesting aquatic resources,143,4,311
Intentional use: (subsistence/small scale) [harvest],144,4,312
Fishing & harvesting aquatic resources,144,4,313
Intentional use: (subsistence/small scale) [harvest],145,4,314
Unintentional effects: (large scale) [harvest],145,4,315
Fishing & harvesting aquatic resources,145,4,316
Intentional use: (subsistence/small scale) [harvest],146,4,317
Fishing & harvesting aquatic resources,146,4,318
Intentional use: (subsistence/small scale) [harvest],148,4,319
Fishing & harvesting aquatic resources,148,4,320
Habitat shifting & alteration,149,4,321
Intentional use: (large scale) [harvest],149,4,322
Intentional use: (subsistence/small scale) [harvest],149,4,323
Fishing & harvesting aquatic resources,149,4,324
Habitat shifting & alteration,150,4,325
Intentional use: (subsistence/small scale) [harvest],150,4,326
Unintentional effects: (large scale) [harvest],150,4,327
Fishing & harvesting aquatic resources,150,4,328
Intentional use: (subsistence/small scale) [harvest],151,4,329
Fishing & harvesting aquatic resources,151,4,330
Temperature extremes,151,4,331
Unintentional effects: (subsistence/small scale) [harvest],151,4,332
Problematic species/disease of unknown origin (Pterois volitans),179,5,333
Intentional use: (subsistence/small scale) [harvest],179,5,334
Housing & urban areas,179,5,335
Unintentional effects: (subsistence/small scale) [harvest],179,5,336
Fishing & harvesting aquatic resources,179,5,337
Unintentional effects: (large scale) [harvest],179,5,338
Tourism & recreation areas,179,5,339
Commercial & industrial areas,179,5,340
Named species (Pterois volitans),179,5,341
Other impacts,179,5,342
Intentional use: (large scale) [harvest],179,5,343
Intentional use: (subsistence/small scale) [harvest],181,5,344
Fishing & harvesting aquatic resources,181,5,345
Intentional use: (subsistence/small scale) [harvest],183,5,346
Unintentional effects: (large scale) [harvest],183,5,347
Unintentional effects: (subsistence/small scale) [harvest],183,5,348
Fishing & harvesting aquatic resources,183,5,349
Commercial & industrial areas,184,5,350
Intentional use: (large scale) [harvest],185,5,351
Intentional use: (subsistence/small scale) [harvest],185,5,352
Unintentional effects: (large scale) [harvest],185,5,353
Fishing & harvesting aquatic resources,185,5,354
Intentional use: (subsistence/small scale) [harvest],187,5,355
Tourism & recreation areas,187,5,356
Fishing & harvesting aquatic resources,187,5,357
Housing & urban areas,187,5,358
Intentional use: (subsistence/small scale) [harvest],189,5,359
Herbicides and pesticides,189,5,360
Housing & urban areas,189,5,361
Unintentional effects: (subsistence/small scale) [harvest],189,5,362
Fishing & harvesting aquatic resources,189,5,363
"Soil erosion, sedimentation",189,5,364
Agricultural & forestry effluents,189,5,365
Unintentional effects: (large scale) [harvest],189,5,366
Tourism & recreation areas,189,5,367
Shipping lanes,189,5,368
Nutrient loads,189,5,369
Intentional use: (subsistence/small scale) [harvest],190,5,370
Fishing & harvesting aquatic resources,190,5,371
Intentional use: (subsistence/small scale) [harvest],192,5,372
Housing & urban areas,192,5,373
Fishing & harvesting aquatic resources,192,5,374
Habitat shifting & alteration,192,5,375
Tourism & recreation areas,192,5,376
Commercial & industrial areas,192,5,377
Work & other activities,192,5,378
Intentional use: (large scale) [harvest],192,5,379
Sewage,193,5,380
Housing & urban areas,193,5,381
Run-off,193,5,382
Motivation Unknown/Unrecorded,193,5,383
Fishing & harvesting aquatic resources,193,5,384
"Soil erosion, sedimentation",193,5,385
Storms & flooding,193,5,386
Agricultural & forestry effluents,193,5,387
Tourism & recreation areas,193,5,388
Commercial & industrial areas,193,5,389
Intentional use: (large scale) [harvest],193,5,390
Temperature extremes,193,5,391
Domestic & urban waste water,193,5,392
Sewage,195,5,393
Housing & urban areas,195,5,394
Run-off,195,5,395
Motivation Unknown/Unrecorded,195,5,396
Fishing & harvesting aquatic resources,195,5,397
Storms & flooding,195,5,398
Tourism & recreation areas,195,5,399
Commercial & industrial areas,195,5,400
Intentional use: (large scale) [harvest],195,5,401
Temperature extremes,195,5,402
Domestic & urban waste water,195,5,403
Housing & urban areas,196,5,404
Industrial & military effluents,196,5,405
Oil spills,196,5,406
Fishing & harvesting aquatic resources,196,5,407
Habitat shifting & alteration,196,5,408
Tourism & recreation areas,196,5,409
Commercial & industrial areas,196,5,410
Intentional use: (large scale) [harvest],196,5,411
Problematic native species/diseases,196,5,412
Intentional use: (subsistence/small scale) [harvest],197,5,413
Sewage,197,5,414
Housing & urban areas,197,5,415
Run-off,197,5,416
Fishing & harvesting aquatic resources,197,5,417
Tourism & recreation areas,197,5,418
Commercial & industrial areas,197,5,419
Intentional use: (large scale) [harvest],197,5,420
Domestic & urban waste water,197,5,421
Housing & urban areas,198,5,422
Fishing & harvesting aquatic resources,198,5,423
Unintentional effects: (large scale) [harvest],198,5,424
Tourism & recreation areas,198,5,425
Commercial & industrial areas,198,5,426
Intentional use: (large scale) [harvest],198,5,427
Intentional use: (subsistence/small scale) [harvest],199,5,428
Sewage,199,5,429
Housing & urban areas,199,5,430
Run-off,199,5,431
Fishing & harvesting aquatic resources,199,5,432
Habitat shifting & alteration,199,5,433
Storms & flooding,199,5,434
Tourism & recreation areas,199,5,435
Commercial & industrial areas,199,5,436
Intentional use: (large scale) [harvest],199,5,437
Domestic & urban waste water,199,5,438
Intentional use: (large scale) [harvest],200,5,439
Intentional use: (subsistence/small scale) [harvest],200,5,440
Fishing & harvesting aquatic resources,200,5,441
Habitat shifting & alteration,201,5,442
Intentional use: (subsistence/small scale) [harvest],201,5,443
Fishing & harvesting aquatic resources,201,5,444
Intentional use: (subsistence/small scale) [harvest],202,5,445
Type Unknown/Unrecorded,202,5,446
Motivation Unknown/Unrecorded,202,5,447
Industrial & military effluents,202,5,448
Fishing & harvesting aquatic resources,202,5,449
Domestic & urban waste water,202,5,450
Intentional use: (large scale) [harvest],203,5,451
Intentional use: (subsistence/small scale) [harvest],203,5,452
Fishing & harvesting aquatic resources,203,5,453
Other ecosystem modifications,204,5,454
Intentional use: (large scale) [harvest],205,5,455
Fishing & harvesting aquatic resources,205,5,456
Intentional use: (subsistence/small scale) [harvest],206,5,457
Fishing & harvesting aquatic resources,206,5,458
Housing & urban areas,207,5,459
Motivation Unknown/Unrecorded,207,5,460
Tourism & recreation areas,207,5,461
Commercial & industrial areas,207,5,462
Logging & wood harvesting,207,5,463
Intentional use: (large scale) [harvest],208,5,464
Intentional use: (subsistence/small scale) [harvest],208,5,465
Fishing & harvesting aquatic resources,208,5,466
Intentional use: (large scale) [harvest],214,5,467
Fishing & harvesting aquatic resources,214,5,468
Intentional use: (subsistence/small scale) [harvest],215,5,469
Unintentional effects: (subsistence/small scale) [harvest],215,5,470
Fishing & harvesting aquatic resources,215,5,471
Unintentional effects: (large scale) [harvest],215,5,472
Intentional use: (large scale) [harvest],215,5,473
Habitat shifting & alteration,216,5,474
Intentional use: (subsistence/small scale) [harvest],217,5,475
Fishing & harvesting aquatic resources,217,5,476
Intentional use: (large scale) [harvest],218,5,477
Intentional use: (subsistence/small scale) [harvest],218,5,478
Unintentional effects: (large scale) [harvest],218,5,479
Fishing & harvesting aquatic resources,218,5,480
Intentional use: (subsistence/small scale) [harvest],219,6,481
Fishing & harvesting aquatic resources,219,6,482
Intentional use: (large scale) [harvest],220,6,483
Intentional use: (subsistence/small scale) [harvest],220,6,484
Fishing & harvesting aquatic resources,220,6,485
Intentional use: (subsistence/small scale) [harvest],221,6,486
Other ecosystem modifications,221,6,487
Housing & urban areas,221,6,488
Fishing & harvesting aquatic resources,221,6,489
Tourism & recreation areas,221,6,490
Commercial & industrial areas,221,6,491
Intentional use: (large scale) [harvest],221,6,492
Intentional use: (subsistence/small scale) [harvest],224,6,493
Fishing & harvesting aquatic resources,224,6,494
Intentional use: (subsistence/small scale) [harvest],226,6,495
Fishing & harvesting aquatic resources,226,6,496
Intentional use: (subsistence/small scale) [harvest],227,6,497
Fishing & harvesting aquatic resources,227,6,498
Intentional use: (subsistence/small scale) [harvest],228,6,499
Unintentional effects: (subsistence/small scale) [harvest],228,6,500
Fishing & harvesting aquatic resources,228,6,501
Intentional use: (subsistence/small scale) [harvest],231,6,502
Fishing & harvesting aquatic resources,231,6,503
Intentional use: (subsistence/small scale) [harvest],232,6,504
Fishing & harvesting aquatic resources,232,6,505
Intentional use: (subsistence/small scale) [harvest],233,6,506
Fishing & harvesting aquatic resources,233,6,507
Intentional use: (subsistence/small scale) [harvest],235,6,508
Fishing & harvesting aquatic resources,235,6,509
Intentional use: (subsistence/small scale) [harvest],236,6,510
Fishing & harvesting aquatic resources,236,6,511
Other ecosystem modifications,238,6,512
Housing & urban areas,238,6,513
Mining & quarrying,238,6,514
Motivation Unknown/Unrecorded,238,6,515
Fishing & harvesting aquatic resources,238,6,516
Commercial & industrial areas,238,6,517
Intentional use: (subsistence/small scale) [harvest],239,6,518
Fishing & harvesting aquatic resources,239,6,519
Intentional use: (subsistence/small scale) [harvest],240,6,520
Tourism & recreation areas,240,6,521
Fishing & harvesting aquatic resources,240,6,522
Housing & urban areas,240,6,523
Intentional use: (subsistence/small scale) [harvest],241,6,524
Housing & urban areas,241,6,525
Fishing & harvesting aquatic resources,241,6,526
Tourism & recreation areas,241,6,527
Commercial & industrial areas,241,6,528
Work & other activities,242,6,529
Motivation Unknown/Unrecorded,242,6,530
Intentional use: (subsistence/small scale) [harvest],242,6,531
Fishing & harvesting aquatic resources,242,6,532
Other ecosystem modifications,243,6,533
Housing & urban areas,243,6,534
Motivation Unknown/Unrecorded,243,6,535
Fishing & harvesting aquatic resources,243,6,536
Commercial & industrial areas,243,6,537
Intentional use: (large scale) [harvest],244,6,538
Intentional use: (subsistence/small scale) [harvest],244,6,539
Fishing & harvesting aquatic resources,244,6,540
Intentional use: (subsistence/small scale) [harvest],245,6,541
Unintentional effects: (subsistence/small scale) [harvest],245,6,542
Fishing & harvesting aquatic resources,245,6,543
Intentional use: (large scale) [harvest],246,6,544
Intentional use: (subsistence/small scale) [harvest],246,6,545
Fishing & harvesting aquatic resources,246,6,546
Intentional use: (large scale) [harvest],247,6,547
Intentional use: (subsistence/small scale) [harvest],247,6,548
Other ecosystem modifications,247,6,549
Fishing & harvesting aquatic resources,247,6,550
Intentional use: (large scale) [harvest],254,6,551
Intentional use: (subsistence/small scale) [harvest],254,6,552
Fishing & harvesting aquatic resources,254,6,553
Intentional use: (subsistence/small scale) [harvest],266,6,554
Fishing & harvesting aquatic resources,266,6,555
Motivation Unknown/Unrecorded,272,6,556
Fishing & harvesting aquatic resources,272,6,557
Intentional use: (subsistence/small scale) [harvest],276,6,558
Fishing & harvesting aquatic resources,276,6,559
Intentional use: (subsistence/small scale) [harvest],283,6,560
Fishing & harvesting aquatic resources,283,6,561
Intentional use: (subsistence/small scale) [harvest],291,6,562
Other ecosystem modifications,291,6,563
Fishing & harvesting aquatic resources,291,6,564
Intentional use: (subsistence/small scale) [harvest],294,6,565
Fishing & harvesting aquatic resources,294,6,566
Intentional use: (large scale) [harvest],304,6,567
Intentional use: (subsistence/small scale) [harvest],304,6,568
Fishing & harvesting aquatic resources,304,6,569
Sewage,305,6,570
Run-off,305,6,571
Fishing & harvesting aquatic resources,305,6,572
Intentional use: (large scale) [harvest],305,6,573
Domestic & urban waste water,305,6,574
Intentional use: (subsistence/small scale) [harvest],306,6,575
Fishing & harvesting aquatic resources,306,6,576
Other ecosystem modifications,307,6,577
Intentional use: (subsistence/small scale) [harvest],309,6,578
Fishing & harvesting aquatic resources,309,6,579
Motivation Unknown/Unrecorded,311,6,580
Fishing & harvesting aquatic resources,311,6,581
Intentional use: (subsistence/small scale) [harvest],320,7,582
Fishing & harvesting aquatic resources,320,7,583
Intentional use: (large scale) [harvest],335,7,584
Fishing & harvesting aquatic resources,335,7,585
Agricultural & forestry effluents,336,7,586
Temperature extremes,336,7,587
Nutrient loads,336,7,588
Intentional use: (subsistence/small scale) [harvest],338,7,589
Fishing & harvesting aquatic resources,338,7,590
Intentional use: (subsistence/small scale) [harvest],342,7,591
Fishing & harvesting aquatic resources,342,7,592
Intentional use: (large scale) [harvest],343,7,593
Intentional use: (subsistence/small scale) [harvest],343,7,594
Fishing & harvesting aquatic resources,343,7,595
Intentional use: (subsistence/small scale) [harvest],344,7,596
Fishing & harvesting aquatic resources,344,7,597
"Soil erosion, sedimentation",344,7,598
Earthquakes/tsunamis,344,7,599
Unintentional effects: (large scale) [harvest],344,7,600
Agricultural & forestry effluents,344,7,601
Shipping lanes,344,7,602
Problematic native species/diseases,344,7,603
Invasive non-native/alien species/diseases (Pterois volitans),345,7,604
Named species (Pterois volitans),345,7,605
Invasive non-native/alien species/diseases (Pterois volitans),346,7,606
Named species (Pterois volitans),346,7,607
Invasive non-native/alien species/diseases (Pterois volitans),347,7,608
Named species (Pterois volitans),347,7,609
Invasive non-native/alien species/diseases (Pterois volitans),348,7,610
Named species (Pterois volitans),348,7,611
Invasive non-native/alien species/diseases (Pterois volitans),349,7,612
Named species (Pterois volitans),349,7,613
Invasive non-native/alien species/diseases (Pterois volitans),351,8,614
Type Unknown/Unrecorded,351,8,615
Housing & urban areas,351,8,616
Industrial & military effluents,351,8,617
Agricultural & forestry effluents,351,8,618
Tourism & recreation areas,351,8,619
Commercial & industrial areas,351,8,620
Named species (Pterois volitans),351,8,621
Temperature extremes,351,8,622
Domestic & urban waste water,351,8,623
Invasive non-native/alien species/diseases (Pterois volitans),352,8,624
Named species (Pterois volitans),352,8,625
Invasive non-native/alien species/diseases (Pterois volitans),353,8,626
Named species (Pterois volitans),353,8,627
Invasive non-native/alien species/diseases (Pterois volitans),355,8,628
Named species (Pterois volitans),355,8,629
Diseases of unknown cause,356,8,630
Agricultural & forestry effluents,356,8,631
Type Unknown/Unrecorded,356,8,632
Domestic & urban waste water,356,8,633
Diseases of unknown cause,357,8,634
Agricultural & forestry effluents,357,8,635
Type Unknown/Unrecorded,357,8,636
Domestic & urban waste water,357,8,637
Type Unknown/Unrecorded,362,8,638
Fishing & harvesting aquatic resources,362,8,639
Agricultural & forestry effluents,362,8,640
Intentional use: (large scale) [harvest],362,8,641
Domestic & urban waste water,362,8,642
Intentional use: (subsistence/small scale) [harvest],363,8,643
